OBJECTID,GEOID20,NAME20,NAMELSAD20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Shape_Area,StCtyName,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021,RBIRTH2021,RDEATH2021,RNATURALCHG2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021,POP100,HU100,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010047,P0010063,P0010070,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020028,P0020049,P0020065,P0020072,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030026,P0030047,P0030063,P0030070,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040028,P0040049,P0040065,P0040072,H0010001,H0010002,H0010003
1,41009,Columbia,Columbia County,1705984341,78454245,+45.9419320,-123.0810790,0.207041021,ColumbiaOregon,Oregon,Columbia County,52589,52631,53074,42,443,124,482,163,597,-39,-115,0,-6,85,566,85,560,-4,-2,9.119719975,11.29558678,-2.175866799,-0.113523485,10.70904877,10.59552528,49351,20698,49351,47656,45651,207,656,457,95,590,1695,1556,151,800,324,62,147,9,7,2,3,4,3,10,18,9,7,126,11,2,0,49351,1987,47364,45932,44563,195,590,446,95,43,1432,1312,111,7,2,0,37732,36826,35397,138,483,360,66,382,906,841,59,4,2,0,37732,1180,36552,35768,34749,129,440,352,66,32,784,728,50,4,2,0,20698,19183,1515
2,41027,Hood River,Hood River County,1352200146,29043701,+45.5117753,-121.6559762,0.159061781,Hood RiverOregon,Oregon,Hood River County,23977,23943,24057,-34,114,55,232,51,202,4,30,-1,3,-36,78,-37,81,-1,3,9.666666667,8.416666667,1.25,0.125,3.25,3.375,22346,9271,22346,21640,18568,101,181,314,37,2439,706,661,54,188,168,35,174,6,1,0,7,1,1,1,20,0,5,40,1,4,0,22346,6589,15757,15281,14714,63,144,305,30,25,476,448,24,0,4,0,16539,16164,14074,65,130,260,32,1603,375,348,24,1,2,0,16539,4036,12503,12247,11797,41,111,253,26,19,256,242,12,0,2,0,9271,8173,1098
3,41025,Harney,Harney County,26248072905,241568254,+43.0644492,-118.9871695,2.927402555,HarneyOregon,Oregon,Harney County,7495,7491,7575,-4,84,17,71,24,100,-7,-29,0,0,5,113,5,113,-2,0,9.425195805,13.27492367,-3.849727864,0,15.00066375,15.00066375,7422,3835,7422,7201,6819,19,232,35,1,95,221,214,13,139,35,4,17,1,0,0,0,0,4,1,0,0,0,7,0,0,0,7422,294,7128,6932,6648,16,227,34,1,6,196,190,6,0,0,0,5758,5634,5348,11,179,28,1,67,124,122,2,0,0,0,5758,190,5568,5454,5240,9,174,27,1,3,114,112,2,0,0,0,3835,3205,630
4,41041,Lincoln,Lincoln County,2540730649,553147948,+44.6410607,-123.9112121,0.35095519,LincolnOregon,Oregon,Lincoln County,50395,50472,50862,77,390,90,369,195,762,-105,-393,0,6,191,783,191,789,-9,-6,7.282846823,15.03937474,-7.756527918,0.118420274,15.4538457,15.57226597,46034,30610,46034,44313,40393,193,1590,492,59,1586,1721,1626,97,993,195,50,219,12,3,0,1,13,8,13,12,8,2,91,3,1,0,46034,3655,42379,41025,38863,159,1433,482,52,36,1354,1277,76,1,0,0,38081,37023,34308,135,1075,427,50,1028,1058,1007,50,0,1,0,38081,2248,35833,34945,33349,113,988,419,45,31,888,844,44,0,0,0,30610,20550,10060
5,41033,Josephine,Josephine County,4244080762,5631773,+42.3869829,-123.5716197,0.46444023,JosephineOregon,Oregon,Josephine County,88090,88105,88346,15,241,195,748,388,1443,-193,-695,0,4,220,936,220,940,-12,-4,8.478274422,16.3558155,-7.877541074,0.045338366,10.60917762,10.65451599,82713,38001,82713,80037,76449,347,1133,681,145,1282,2676,2447,209,1354,376,108,299,6,6,1,6,10,9,19,31,8,5,211,17,1,0,82713,5251,77462,75411,73289,295,966,667,117,77,2051,1894,148,8,1,0,65830,64230,61652,213,883,545,108,829,1600,1499,95,5,1,0,65830,3146,62684,61376,59750,183,753,536,92,62,1308,1229,74,4,1,0,38001,34646,3355
6,41021,Gilliam,Gilliam County,3120213943,46914702,+45.3829550,-120.2762460,0.36382596,GilliamOregon,Oregon,Gilliam County,1995,2016,2005,21,-11,5,17,3,30,2,-13,0,0,20,1,20,1,-1,1,8.455608058,14.92166128,-6.466053221,0,0.497388709,0.497388709,1871,1156,1871,1845,1781,3,19,3,13,26,26,25,0,21,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1871,88,1783,1762,1725,3,18,3,13,0,21,20,1,0,0,0,1518,1500,1458,3,16,1,6,16,18,17,1,0,0,0,1518,45,1473,1456,1431,3,15,1,6,0,17,16,1,0,0,0,1156,864,292
7,41017,Deschutes,Deschutes County,7815593157,94707741,+43.9151181,-121.2255751,0.886367794,DeschutesOregon,Oregon,Deschutes County,198253,199355,204801,1102,5446,483,1789,426,1913,57,-124,-1,-25,1050,5663,1049,5638,-4,-68,8.853017152,9.466641594,-0.613624442,-0.123714605,28.02383238,27.90011778,157733,80139,157733,153740,145374,568,1449,1476,210,4663,3993,3689,445,1465,863,197,542,27,15,0,7,8,14,33,36,30,7,271,25,6,2,157733,11718,146015,142927,139470,524,1197,1412,183,141,3088,2850,210,22,6,0,121512,119305,113704,365,1055,1149,164,2868,2207,2063,130,9,3,2,121512,6993,114519,112778,110207,342,884,1101,144,100,1741,1622,108,8,3,0,80139,64090,16049
8,41053,Polk,Polk County,1918983379,8146766,+44.9003723,-123.3986397,0.219567993,PolkOregon,Oregon,Polk County,87433,87863,89164,430,1301,211,856,242,863,-31,-7,3,12,459,1301,462,1313,-1,-5,9.670841171,9.749925153,-0.079083982,0.13557254,14.69832286,14.83389539,75403,30302,75403,72534,64808,424,1616,1435,210,4041,2869,2645,311,1010,560,140,409,30,17,7,8,18,3,48,54,15,15,203,19,2,0,75403,9088,66315,64159,60702,394,1380,1403,201,79,2156,2005,135,14,2,0,57070,55512,50287,312,1103,1128,163,2519,1558,1452,94,11,1,0,57070,5320,51750,50518,47926,291,980,1106,154,61,1232,1158,67,6,1,0,30302,28288,2014
9,41065,Wasco,Wasco County,6167113903,35722738,+45.1645359,-121.1650693,0.709858478,WascoOregon,Oregon,Wasco County,26670,26611,26726,-59,115,74,267,103,331,-29,-64,0,1,-28,177,-28,178,-2,1,10.01181169,12.4116467,-2.399835011,0.037497422,6.637043703,6.674541125,25213,11487,25213,24571,21700,106,1117,192,145,1311,642,622,44,294,88,25,109,4,1,0,3,11,3,18,6,6,10,20,0,0,0,25213,3743,21470,21008,19556,85,1018,191,142,16,462,450,12,0,0,0,19365,19023,17095,67,772,155,98,836,342,334,8,0,0,0,19365,2158,17207,16943,15904,57,718,154,96,14,264,260,4,0,0,0,11487,10031,1456
10,41055,Sherman,Sherman County,2133151635,19617472,+45.3992158,-120.6785124,0.247416823,ShermanOregon,Oregon,Sherman County,1870,1872,1907,2,35,5,19,4,20,1,-1,0,0,1,36,1,36,0,0,10.05557026,10.5848108,-0.52924054,0,19.05265943,19.05265943,1765,918,1765,1733,1648,4,29,3,1,48,32,30,0,6,9,0,14,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1765,98,1667,1649,1616,2,21,3,1,6,18,16,2,0,0,0,1416,1399,1345,3,20,3,1,27,17,16,1,0,0,0,1416,47,1369,1357,1331,1,17,3,1,4,12,11,1,0,0,0,918,777,141
